transcript_id,gene_id,gene_name,length,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
ENST00000361390,ENSG00000198888,MT-ND1,956,0.050675523,0.934464796,0.868929593,6,3,33.92960831,13.67814551,1.315967869,0,24
ENST00000361453,ENSG00000198763,MT-ND2,1042,0.077591253,0.976671734,0.953343469,6,3,11.70953329,8.933315953,2.014929293,0,24
ENST00000361739,ENSG00000198712,MT-CO2,684,0.0306765,0.877056586,0.754113172,6,3,66.76632761,22.59538005,0.796623025,0,24
ENST00000361851,ENSG00000228253,MT-ATP8,207,0.043170403,0.961136997,0.922273993,6,3,34.11300546,16.05607399,1.121071067,0,24
ENST00000361899,ENSG00000198899,MT-ATP6,681,0.037773994,0.92895556,0.857911121,6,3,11.20215543,18.34985152,0.980934368,0,24
ENST00000362079,ENSG00000198938,MT-CO3,784,0.035912719,0.881724308,0.763448616,6,3,62.54166175,19.30088291,0.932599824,0,24
ENST00000361227,ENSG00000198840,MT-ND3,346,0.039074273,0.939668888,0.879337776,6,3,2.6507248,17.73922153,1.014700671,0,24
ENST00000361381,ENSG00000198886,MT-ND4,1378,0.035068625,0.920205975,0.840411951,6,3,73.41589136,19.76545098,0.910679955,0,24
ENST00000361567,ENSG00000198786,MT-ND5,1812,0.054001226,0.926608,0.853215999,6,3,11.79451034,12.83576746,1.402331419,0,24
ENST00000361789,ENSG00000198727,MT-CYB,1141,0.043540369,0.926511379,0.853022759,6,3,22.64273606,15.91964421,1.130678535,0,24
ENST00000237281,ENSG00000118496,FBXO30,9009,0.042225425,0.965724028,0.948586041,0,4,4.989451419,16.41539873,1.462041854,0,24
ENST00000325318,ENSG00000213123,TCTEX1D2,673,0.049839294,0.999977271,0.999954542,6,3,0.564574355,13.90764447,1.294252239,6,24
ENST00000392514,ENSG00000089157,RPLP0,1218,0.165582624,0.992047011,0.984094022,6,3,0.601590218,4.18611061,4.299934157,6,24
ENST00000400485,ENSG00000159256,MORC3,4246,0.048241598,0.998865899,0.997731799,6,3,2.697112266,14.36824676,1.252762449,0,24
ENST00000319715,ENSG00000122257,RBBP6,6229,0.033288656,0.983511457,0.967022914,6,3,4.732947705,20.82232369,0.864456833,6,24
ENST00000587942,ENSG00000197563,PIGN,2177,0.020126783,0.901361153,0.802722306,6,3,0.340860625,34.43904393,0.522662593,0,24
ENST00000367762,ENSG00000120370,GORAB,1699,0.056668607,0.874212273,0.81131841,0,4,0.653722715,12.23159028,1.962132433,0,24
ENST00000429152,ENSG00000006695,COX10,875,0.183253436,0.975916578,0.951833156,6,3,0.159793311,3.782451216,4.758818811,6,24
ENST00000474433,ENSG00000146776,ATXN7L1,2732,0.127240541,0.976518273,0.96477741,0,4,0.020143256,5.447534058,4.405663139,0,24
ENST00000311694,ENSG00000173064,HECTD4,2734,0.073216989,0.997126412,0.994252823,6,3,5.023013772,9.467026577,1.901336164,6,24
ENST00000285419,ENSG00000155099,TMEM55A,2970,0.034412315,0.872123485,0.808185227,0,4,1.282231803,20.14241653,1.191515426,0,24
ENST00000296328,ENSG00000163960,UBXN7,10568,0.032555704,0.999993172,0.999986344,6,3,3.186395231,21.29111316,0.845423152,0,24
ENST00000284320,ENSG00000154174,TOMM70A,4409,0.043557019,0.997287098,0.994574196,6,3,12.78741111,15.9135588,1.131110911,6,24
ENST00000299980,ENSG00000166747,AP1G1,6969,0.031616191,0.997725757,0.995451515,6,3,20.70264597,21.92380433,0.82102539,6,24
ENST00000298355,ENSG00000100505,TRIM9,5284,0.036974908,0.956972032,0.913944063,6,3,1.468468552,18.74642089,0.960183285,6,24
ENST00000311630,ENSG00000174013,FBXO45,5899,0.041306309,0.958007754,0.916015508,6,3,1.337421979,16.78066145,1.072663319,6,24
ENST00000303052,ENSG00000169118,CSNK1G1,8179,0.043244346,0.994806328,0.989612656,6,3,4.194031014,16.02861989,1.122991257,0,24
ENST00000220592,ENSG00000123908,AGO2,14581,0.028489469,0.96616098,0.949241469,0,4,10.89964893,24.32994354,0.986438787,0,24
ENST00000524328,ENSG00000123908,AGO2,316,0.058871173,0.912212344,0.868318516,0,4,1.077314096,11.77396583,2.038395588,0,24
ENST00000400555,ENSG00000154845,PPP4R1,3885,0.161811158,0.952772178,0.929158267,0,4,0.093904473,4.283679747,5.602659727,0,24
ENST00000595329,ENSG00000269190,FBXO17,1299,0.061181811,0.954429808,0.931644712,0,4,0.309622631,11.32930145,2.118400689,0,24
ENST00000597696,ENSG00000269190,FBXO17,932,0.067887485,0.918362159,0.836724318,6,3,3.987767273,10.21023512,1.762936875,6,24
ENST00000581208,ENSG00000136451,VEZF1,2321,0.113630416,0.992619607,0.985239215,6,3,0.225622822,6.10001446,2.950812677,6,24
ENST00000389793,ENSG00000143669,LYST,13480,0.221771157,0.941968484,0.912952726,0,4,0.120786398,3.125506441,7.678755573,0,24
ENST00000493486,ENSG00000196233,LCOR,245,0.036820013,0.993515825,0.987031649,6,3,0.511230012,18.82528329,0.95616091,0,24
ENST00000540664,ENSG00000196233,LCOR,7777,0.036155293,0.99927362,0.998547239,6,3,3.869772285,19.17138882,0.938899115,0,24
ENST00000219400,ENSG00000103121,CMC2,10301,0.076777302,0.899121995,0.848682992,0,4,0.51946357,9.028022126,2.658389586,0,24
ENST00000460934,ENSG00000158715,SLC45A3,2448,0.01662735,0.975132007,0.950264014,6,3,0.28696376,41.68717161,0.431787509,0,24
ENST00000582730,ENSG00000136450,SRSF1,3117,0.032408829,0.976451858,0.952903716,6,3,47.50109008,21.38760364,0.841609014,0,24
ENST00000306357,ENSG00000170310,STX8,1246,0.032999416,0.954325867,0.908651734,6,3,2.823228907,21.00483163,0.856945693,0,24
ENST00000366935,ENSG00000092978,GPATCH2,5851,0.019305451,0.802325144,0.703487716,0,4,2.271072525,35.90422169,0.66844507,0,24
ENST00000366934,ENSG00000092978,GPATCH2,3218,0.065874619,0.83413338,0.75120007,0,4,2.707061932,10.52221912,2.280887684,0,24
ENST00000486832,ENSG00000114098,ARMC8,3095,0.061747916,0.892313352,0.784626704,6,3,1.005994583,11.22543442,1.603501417,0,24
ENST00000464177,ENSG00000157600,TMEM164,761,0.044180067,0.824237067,0.7363556,0,4,0.790852404,15.6891382,1.529720733,0,24
ENST00000295491,ENSG00000163319,MRPS18C,1643,0.031820763,0.998717538,0.997435076,6,3,1.879736523,21.78285857,0.826337826,0,24
ENST00000550205,ENSG00000089159,PXN,547,0.035992217,0.961095362,0.922190724,6,3,0.564115041,19.25825204,0.934664266,0,24
ENST00000487380,ENSG00000115657,ABCB6,768,0.016099272,0.861228865,0.722457731,6,3,0.252811193,43.05456645,0.41807412,0,24
ENST00000367282,ENSG00000170075,GPR37L1,6588,0.038079298,0.991425163,0.982850326,6,3,0.058338188,18.20273017,0.98886265,6,24
ENST00000547754,ENSG00000139354,GAS2L3,2340,0.069719826,0.975476187,0.950952375,6,3,0.758638971,9.941894818,1.81052006,0,24
ENST00000300245,ENSG00000166971,AKTIP,2133,0.090368443,0.992542943,0.985085885,6,3,0.086628359,7.670234883,2.346733871,0,24
ENST00000311765,ENSG00000172840,PDP2,7146,0.185687408,0.916214461,0.832428922,6,3,0.311937254,3.732871218,4.822025446,6,24
ENST00000369248,ENSG00000151553,FAM160B1,5810,0.029938749,0.999819583,0.999639166,6,3,14.30201099,23.15217586,0.777464723,6,24
ENST00000517904,ENSG00000044115,CTNNA1,661,0.072839102,0.998627417,0.997254834,6,3,0.386499245,9.516141191,1.891523007,0,24
ENST00000478431,ENSG00000204227,RING1,1532,0.029470024,0.814116478,0.721174717,0,4,0.671046472,23.52041425,1.020390192,0,24
ENST00000493464,ENSG00000154642,C21orf91,744,0.056127876,0.890364314,0.780728628,6,3,0.15887428,12.34942839,1.45755734,6,24
ENST00000319653,ENSG00000155816,FMN2,6434,0.021137809,0.9199849,0.839969799,6,3,2.050125552,32.79181707,0.548917431,6,24
ENST00000421392,ENSG00000204843,DCTN1,542,0.180900052,0.999999046,0.999998091,0,3,0.232169963,3.831658269,3.131803297,0,12
ENST00000520316,ENSG00000104299,INTS9,692,0.044678731,0.901551575,0.80310315,6,3,0.434441592,15.51403034,1.160240093,0,24
ENST00000551661,ENSG00000111596,CNOT2,571,0.078078774,0.979420546,0.958841091,6,3,0.230488075,8.877536703,2.027589477,6,24
ENST00000229195,ENSG00000111596,CNOT2,3282,0.085709403,0.994330823,0.988661645,6,3,0.532375273,8.087177768,2.225745559,0,24
ENST00000492613,ENSG00000067208,EVI5,495,0.059514846,0.998955816,0.997911632,6,3,0.127053524,11.6466264,1.545511927,0,24
ENST00000540033,ENSG00000067208,EVI5,7436,0.044452458,0.821647746,0.732471619,0,4,1.028964411,15.59300012,1.539152172,0,24
ENST00000496542,ENSG00000115414,FN1,695,0.030914676,0.995212709,0.990425418,6,3,2.751737135,22.42129821,0.802808108,0,24
ENST00000357799,ENSG00000163535,SGOL2,4214,0.062017494,0.999940831,0.999881662,6,3,6.086488787,11.17663954,1.61050197,6,24
ENST00000378467,ENSG00000065809,FAM107B,2374,0.040434581,0.937920356,0.875840711,6,3,3.111039534,17.1424353,1.050025839,6,24
ENST00000489100,ENSG00000065809,FAM107B,559,0.023120867,0.871219873,0.742439746,6,3,0.233463509,29.97929013,0.600414484,0,24
ENST00000378799,ENSG00000182149,IST1,4843,0.079509215,0.998690816,0.998036224,0,4,0.94701247,8.71782192,2.752981217,0,24
ENST00000563674,ENSG00000178188,SH2B1,719,0.048330078,0.910287802,0.865431704,0,4,0.648206266,14.34194196,1.673413549,0,24
ENST00000534526,ENSG00000139132,FGD4,2977,0.027985351,0.993643358,0.987286715,6,3,2.615338801,24.76821437,0.726737896,6,24
ENST00000349841,ENSG00000085274,MYNN,4999,0.024029763,0.999975594,0.999951188,6,3,3.289766171,28.84536056,0.624017161,6,24
ENST00000566352,ENSG00000159579,RSPRY1,1241,0.062904397,0.985600653,0.971201307,6,3,1.256398071,11.01905776,1.633533501,0,24
ENST00000397390,ENSG00000232176,RP11-146N23.1,712,0.056733119,0.888505021,0.832757532,0,4,0.921078226,12.2176815,1.964366153,0,24
ENST00000259021,ENSG00000136504,KAT7,9644,0.02877444,0.998518232,0.997777348,0,4,4.80277333,24.08898917,0.996305815,0,24
ENST00000430968,ENSG00000144228,SPOPL,558,0.033388774,0.939087897,0.878175795,6,3,1.32137078,20.75988703,0.867056741,6,24
ENST00000379562,ENSG00000151657,KIN,6348,0.043956532,0.970807569,0.941615137,6,3,3.142106423,15.76892331,1.141485671,6,24
ENST00000370310,ENSG00000154511,FAM69A,2574,0.029227933,0.96699227,0.93398454,6,3,2.605809843,23.71523121,0.759005883,6,24
ENST00000272342,ENSG00000143971,ETAA1,3418,0.045198104,0.841033373,0.761550059,0,4,6.865058859,15.33575775,1.564969948,0,24
ENST00000429587,ENSG00000130921,C12orf65,1326,0.132316754,0.955897796,0.933846694,0,4,0.05670641,5.238544308,4.581425409,0,24
ENST00000485409,ENSG00000075711,DLG1,656,0.040184569,0.959005282,0.918010564,6,3,2.283414016,17.24908821,1.043533419,0,24
ENST00000512845,ENSG00000138738,PRDM5,1249,0.071917806,0.939100608,0.908650912,0,4,0.616988933,9.638046874,2.490131073,0,24
ENST00000507611,ENSG00000138738,PRDM5,535,0.088860553,0.984432155,0.968864311,6,3,0.455116148,7.800392374,2.307576227,0,24
ENST00000466189,ENSG00000173889,PHC3,580,0.088292909,0.971604295,0.957406442,0,4,0.119649818,7.850541885,3.057113808,0,24
ENST00000488352,ENSG00000135164,DMTF1,2509,0.042360374,0.949285369,0.898570738,6,3,5.713810238,16.36310324,1.100035839,0,24
ENST00000496695,ENSG00000101935,AMMECR1,546,0.111075316,0.851073914,0.776610871,0,4,0.164971742,6.240334967,3.845947394,0,24
ENST00000476635,ENSG00000163558,PRKCI,3650,0.109694666,0.902187976,0.804375952,6,3,0.648351749,6.318877731,2.848607105,6,24
ENST00000582359,ENSG00000109065,NAT9,694,0.055777697,0.952223651,0.904447301,6,3,1.142585697,12.42695956,1.448463714,6,24
ENST00000550920,ENSG00000196531,NACA,752,0.096814869,0.99743637,0.994872739,6,3,1.158218632,7.159511648,2.514137959,6,24
ENST00000356769,ENSG00000196531,NACA,2690,0.072786465,0.993944095,0.987888191,6,3,1.130187098,9.523023048,1.890156089,6,24
ENST00000546862,ENSG00000196531,NACA,492,0.048638228,0.991509468,0.983018936,6,3,4.938279242,14.25107807,1.263062339,6,24
ENST00000462419,ENSG00000114107,CEP70,1021,0.045483285,0.913436376,0.826872753,6,3,0.413306395,15.23960245,1.181133173,6,24
ENST00000315183,ENSG00000090905,TNRC6A,8303,0.147010152,0.957898316,0.915796632,6,3,2.281057221,4.714961311,3.817634719,0,24
ENST00000458537,ENSG00000136603,SKIL,7182,0.043951584,0.973119309,0.959678963,0,4,9.253020614,15.77069846,1.52180958,0,24
ENST00000264245,ENSG00000031081,ARHGAP31,9317,0.03638778,0.913649026,0.827298051,6,3,2.659138905,19.04890009,0.944936448,0,24
ENST00000478934,ENSG00000223501,VPS52,2602,0.083339928,0.937235891,0.874471782,6,3,1.074407139,8.317107952,2.164213823,6,24
ENST00000468545,ENSG00000176142,TMEM39A,575,0.035418054,0.922600919,0.845201838,6,3,0.955867288,19.57044801,0.919754111,0,24
ENST00000413639,ENSG00000224728,AC090945.1,1525,0.047735362,0.923897544,0.847795087,6,3,0.751819743,14.52062254,1.239616273,0,24
ENST00000526639,ENSG00000184209,SNRNP35,1975,0.101190097,0.986948734,0.973897468,0,3,0.23350795,6.849950715,3.503674844,0,24
ENST00000263464,ENSG00000023445,BIRC3,5197,0.048131833,0.999928725,0.99985745,6,3,3.81784103,14.40101347,1.249912032,0,24
ENST00000308511,ENSG00000158941,CCAR2,4853,0.01609875,0.911993345,0.823986689,6,3,11.2900136,43.05596359,0.418060554,6,24
ENST00000597766,ENSG00000130669,PAK4,380,0.054636067,0.967241103,0.950861654,0,4,0.485247758,12.68662288,1.891756398,0,24
ENST00000564259,ENSG00000102910,LONP2,819,0.042428729,0.967049769,0.934099538,6,3,0.300760651,16.33674147,1.101810911,0,24
ENST00000288532,ENSG00000110871,COQ5,1535,0.043102774,0.964200195,0.946300293,0,4,3.707351868,16.0812663,1.492419785,0,24
ENST00000491027,ENSG00000105835,NAMPT,1009,0.051775085,0.974842466,0.949684931,6,3,0.913969778,13.38765888,1.344521859,0,24
