transcript_id,gene_id,gene_name,length,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
ENST00000387347,ENSG00000210082,MT-RNR2,1559,0.084692723,0.969815601,0.939631202,0,3,2.084723369,8.184258967,1.466229264,0,12
ENST00000361624,ENSG00000198804,MT-CO1,1542,0.064540449,0.999016238,0.998032475,6,3,2260.241984,10.73973291,1.676019335,6,24
ENST00000361681,ENSG00000198695,MT-ND6,525,0.067206208,0.992667035,0.98533407,6,3,16.61090983,10.31373734,1.745245143,0,24
ENST00000582381,ENSG00000109107,ALDOC,571,0.021549216,0.916868968,0.833737936,6,3,0.365958795,32.16577212,0.559601055,6,24
ENST00000392301,ENSG00000225200,AB019441.29,627,0.017345293,0.947688137,0.895376274,6,3,33.41505733,39.96168731,0.450431431,6,24
ENST00000450208,ENSG00000243781,RP11-193H5.2,775,0.032420828,0.992971699,0.985943398,6,3,0.09103191,21.37968809,0.841920608,0,24
ENST00000589295,ENSG00000108984,MAP2K6,669,0.083734211,0.92368928,0.847378561,0,3,1.233018365,8.277944806,1.449635179,0,12
ENST00000558767,ENSG00000103876,FAH,2087,0.025451766,0.969967013,0.939934025,6,3,1.646704387,27.23375552,0.660944466,0,24
ENST00000546989,ENSG00000089157,RPLP0,993,0.100578201,0.982642,0.965284,6,3,31.18103695,6.891624335,2.611866104,0,24
ENST00000552461,ENSG00000089157,RPLP0,2591,0.02656832,0.994914332,0.989828664,6,3,1.201735712,26.08923641,0.689939702,0,24
ENST00000549098,ENSG00000089157,RPLP0,1106,0.058573195,0.847811769,0.771717654,0,4,138.2632227,11.8338632,2.028078201,0,24
ENST00000547475,ENSG00000089157,RPLP0,792,0.127137693,0.957795953,0.93669393,0,4,0.621564091,5.451940827,4.40210207,0,24
ENST00000547191,ENSG00000089157,RPLP0,680,0.022389439,0.968842065,0.937684131,6,3,2.018231604,30.95866726,0.581420377,0,24
ENST00000415947,ENSG00000116117,PARD3B,1668,0.018072634,0.983807162,0.967614323,0,3,0.126083346,38.35341227,0.625759185,0,24
ENST00000406610,ENSG00000116117,PARD3B,8174,0.035628278,0.978486396,0.956972793,6,3,0.576908207,19.45497285,0.925213319,6,24
ENST00000484028,ENSG00000159256,MORC3,688,0.032420827,0.992971698,0.985943396,6,3,0.102543212,21.37968815,0.841920606,6,24
ENST00000542117,ENSG00000111325,OGFOD2,996,0.089554478,0.938355685,0.87671137,6,3,0.132080062,7.739949952,2.325596433,6,24
ENST00000228922,ENSG00000111325,OGFOD2,1780,0.073495542,0.999937865,0.999875731,6,3,0.280700287,9.43114597,1.90856976,6,24
ENST00000272117,ENSG00000143772,ITPKB,5822,0.058162739,0.999947029,0.999894058,6,3,1.433610759,11.91737524,1.510399701,0,24
ENST00000568316,ENSG00000122257,RBBP6,556,0.13980813,0.999965872,0.999931744,0,3,0.386556469,4.957846017,4.8408119,0,24
ENST00000613729,ENSG00000122257,RBBP6,1946,0.124789266,0.989804543,0.979609086,6,3,0.076478576,5.554541687,3.240591396,6,24
ENST00000367763,ENSG00000120370,GORAB,2189,0.014153811,0.995218207,0.990436414,0,3,0.510201165,48.97247553,0.245035602,0,12
ENST00000498600,ENSG00000120370,GORAB,2185,0.101617466,0.973923865,0.947847731,6,3,0.069054587,6.821142155,2.638854255,6,24
ENST00000595376,ENSG00000105552,BCAT2,2254,0.029809204,0.817259617,0.725889425,0,4,0.431522071,23.25279091,1.032134168,0,24
ENST00000593515,ENSG00000105552,BCAT2,1664,0.123898434,0.978376839,0.956753678,0,3,0.129638625,5.594478948,2.144971875,0,12
ENST00000599510,ENSG00000105552,BCAT2,836,0.067344224,0.996708519,0.993417038,6,3,0.259087295,10.29260036,1.748829194,6,24
ENST00000450765,ENSG00000115568,ZNF142,6028,0.076492575,0.956929533,0.935394299,0,4,0.956106932,9.061626952,2.648531012,0,24
ENST00000440934,ENSG00000115568,ZNF142,880,0.075515392,0.908700116,0.863050174,0,4,0.594360598,9.178886089,2.614696355,0,24
