transcript_id,gene_id,gene_name,length,lambda.z,r.squared,adj.r.squared,lambda.z.time.first,lambda.z.n.points,clast.pred,half.life,span.ratio,tmax,tlast
ENST00000361390,ENSG00000198888,MT-ND1,956,0.157004959,0.949290679,0.923936018,0,4,12.22083866,4.414810761,5.436246603,0,24
ENST00000361453,ENSG00000198763,MT-ND2,1042,0.146080234,0.884657179,0.826985768,0,4,5.29972074,4.744975826,5.057981511,0,24
ENST00000361739,ENSG00000198712,MT-CO2,684,0.11484032,0.990992153,0.981984306,6,3,272.1216196,6.035747555,2.982232082,6,24
ENST00000361851,ENSG00000228253,MT-ATP8,207,0.156131992,0.978284705,0.956569409,6,3,25.71574962,4.439494899,4.054515302,6,24
ENST00000361899,ENSG00000198899,MT-ATP6,681,0.450662703,0.961611408,0.923222815,6,3,0.142862086,1.538062006,11.70303923,6,24
ENST00000362079,ENSG00000198938,MT-CO3,784,0.117744364,0.975276915,0.950553831,6,3,161.6913313,5.886882045,3.057645773,6,24
ENST00000361227,ENSG00000198840,MT-ND3,346,0.172692694,0.940764305,0.911146458,0,4,3.14572916,4.013760879,5.979429449,0,24
ENST00000361381,ENSG00000198886,MT-ND4,1378,0.106033926,0.996938836,0.993877672,6,3,140.254038,6.53703213,2.753543144,6,24
ENST00000361567,ENSG00000198786,MT-ND5,1812,0.101447545,0.935319118,0.870638236,6,3,16.63053026,6.83256735,2.634441649,6,24
ENST00000361789,ENSG00000198727,MT-CYB,1141,0.128822419,0.960350775,0.940526163,0,4,19.37285213,5.380640913,4.460435177,0,24
ENST00000237281,ENSG00000118496,FBXO30,9009,0.052819274,0.951686684,0.927530025,0,4,1.461537651,13.12299709,1.828850516,0,24
ENST00000325318,ENSG00000213123,TCTEX1D2,673,0.03146899,0.966635216,0.933270432,6,3,2.376168544,22.02635638,0.817202795,6,24
ENST00000392514,ENSG00000089157,RPLP0,1218,0.146731654,0.932936508,0.899404761,0,4,1.751431605,4.723910369,5.080536701,0,24
ENST00000400485,ENSG00000159256,MORC3,4246,0.038763058,0.967896939,0.935793877,0,3,1.915428434,17.88164338,1.342158519,0,24
